schema_name,table_name,policy_name,command_type,roles,using_expression,with_check_expression
public,announcements,Admins can create announcements,a,authenticated,null,"((EXISTS ( SELECT 1
   FROM members m
  WHERE ((m.id = auth.uid()) AND (m.role = 'admin'::user_role) AND ((announcements.community_id = m.community_id) OR (announcements.community_id IS NULL))))) AND (author_id = auth.uid()))"
public,announcements,Admins can delete their announcements,d,authenticated,"((author_id = auth.uid()) AND (EXISTS ( SELECT 1
   FROM members m
  WHERE ((m.id = auth.uid()) AND (m.role = 'admin'::user_role) AND ((announcements.community_id = m.community_id) OR (announcements.community_id IS NULL))))))",null
public,announcements,Admins can update their announcements,w,authenticated,"((author_id = auth.uid()) AND (EXISTS ( SELECT 1
   FROM members m
  WHERE ((m.id = auth.uid()) AND (m.role = 'admin'::user_role) AND ((announcements.community_id = m.community_id) OR (announcements.community_id IS NULL))))))","((author_id = auth.uid()) AND (EXISTS ( SELECT 1
   FROM members m
  WHERE ((m.id = auth.uid()) AND (m.role = 'admin'::user_role) AND ((announcements.community_id = m.community_id) OR (announcements.community_id IS NULL))))))"
public,announcements,Members can view relevant announcements,r,authenticated,"((community_id IS NULL) OR (EXISTS ( SELECT 1
   FROM members m
  WHERE ((m.id = auth.uid()) AND (m.community_id = announcements.community_id)))))",null
public,announcements,Superadmins have full control,*,authenticated,"(EXISTS ( SELECT 1
   FROM members m
  WHERE ((m.id = ( SELECT auth.uid() AS uid)) AND (m.role = 'superadmin'::user_role))))",null
public,announcements,Superadmins have full control over announcements,*,authenticated,"(EXISTS ( SELECT 1
   FROM members m
  WHERE ((m.id = auth.uid()) AND (m.role = 'superadmin'::user_role))))","(EXISTS ( SELECT 1
   FROM members m
  WHERE ((m.id = auth.uid()) AND (m.role = 'superadmin'::user_role))))"
public,comments,Admins can delete comments in their community,d,authenticated,"(EXISTS ( SELECT 1
   FROM members m
  WHERE ((m.id = auth.uid()) AND (m.role = 'admin'::user_role) AND (m.community_id = comments.community_id))))",null
public,comments,Authors can delete their own comments,d,authenticated,(author_id = auth.uid()),null
public,comments,Authors can update their own comments,w,authenticated,(author_id = auth.uid()),"((author_id = auth.uid()) AND (EXISTS ( SELECT 1
   FROM members m
  WHERE ((m.id = auth.uid()) AND (m.community_id = comments.community_id)))))"
public,comments,Members can create comments,a,authenticated,null,"((author_id = auth.uid()) AND (EXISTS ( SELECT 1
   FROM members m
  WHERE ((m.id = auth.uid()) AND (m.community_id = comments.community_id) AND (m.status = 'active'::member_status)))) AND (EXISTS ( SELECT 1
   FROM posts p
  WHERE ((p.id = comments.post_id) AND (p.community_id = comments.community_id)))))"
public,comments,Members can view comments in their community,r,authenticated,"(EXISTS ( SELECT 1
   FROM members m
  WHERE ((m.id = auth.uid()) AND (m.community_id = comments.community_id))))",null
public,comments,Superadmins have full control,*,authenticated,"(EXISTS ( SELECT 1
   FROM members m
  WHERE ((m.id = ( SELECT auth.uid() AS uid)) AND (m.role = 'superadmin'::user_role))))",null
public,comments,Superadmins have full control over comments,*,authenticated,"(EXISTS ( SELECT 1
   FROM members m
  WHERE ((m.id = auth.uid()) AND (m.role = 'superadmin'::user_role))))","(EXISTS ( SELECT 1
   FROM members m
  WHERE ((m.id = auth.uid()) AND (m.role = 'superadmin'::user_role))))"
public,communities,Admins can update their own community details,w,authenticated,"(EXISTS ( SELECT 1
   FROM members m
  WHERE ((m.id = auth.uid()) AND (m.role = 'admin'::user_role) AND (m.community_id = communities.id))))","(EXISTS ( SELECT 1
   FROM members m
  WHERE ((m.id = auth.uid()) AND (m.role = 'admin'::user_role) AND (m.community_id = communities.id))))"
public,communities,Admins can view their own community details,r,authenticated,"(EXISTS ( SELECT 1
   FROM members m
  WHERE ((m.id = auth.uid()) AND (m.role = 'admin'::user_role) AND (m.community_id = communities.id))))",null
public,communities,Superadmins have full control,*,authenticated,"(EXISTS ( SELECT 1
   FROM members m
  WHERE ((m.id = ( SELECT auth.uid() AS uid)) AND (m.role = 'superadmin'::user_role))))",null
public,communities,Superadmins have full control over communities,*,authenticated,"(EXISTS ( SELECT 1
   FROM members m
  WHERE ((m.id = auth.uid()) AND (m.role = 'superadmin'::user_role))))","(EXISTS ( SELECT 1
   FROM members m
  WHERE ((m.id = auth.uid()) AND (m.role = 'superadmin'::user_role))))"
public,community_invites,Admins can create invites for their community,a,authenticated,null,"(EXISTS ( SELECT 1
   FROM members m
  WHERE ((m.id = auth.uid()) AND (m.role = 'admin'::user_role) AND (m.community_id = community_invites.community_id))))"
public,community_invites,Admins can delete invites for their community,d,authenticated,"(EXISTS ( SELECT 1
   FROM members m
  WHERE ((m.id = auth.uid()) AND (m.role = 'admin'::user_role) AND (m.community_id = community_invites.community_id))))",null
public,community_invites,Admins can update invites for their community,w,authenticated,"(EXISTS ( SELECT 1
   FROM members m
  WHERE ((m.id = auth.uid()) AND (m.role = 'admin'::user_role) AND (m.community_id = community_invites.community_id))))","((EXISTS ( SELECT 1
   FROM members m
  WHERE ((m.id = auth.uid()) AND (m.role = 'admin'::user_role) AND (m.community_id = community_invites.community_id)))) AND (community_id = ( SELECT ci.community_id
   FROM community_invites ci
  WHERE (ci.id = community_invites.id))) AND (invite_token = ( SELECT ci.invite_token
   FROM community_invites ci
  WHERE (ci.id = community_invites.id))))"
public,community_invites,Admins can view invites for their community,r,authenticated,"(EXISTS ( SELECT 1
   FROM members m
  WHERE ((m.id = auth.uid()) AND (m.role = 'admin'::user_role) AND (m.community_id = community_invites.community_id))))",null
public,community_invites,Superadmins have full control,*,authenticated,"(EXISTS ( SELECT 1
   FROM members m
  WHERE ((m.id = ( SELECT auth.uid() AS uid)) AND (m.role = 'superadmin'::user_role))))",null
public,contributions,Admins can view all contributions,r,public,"(EXISTS ( SELECT 1
   FROM members
  WHERE ((members.id = auth.uid()) AND (members.role = 'admin'::user_role))))",null
public,contributions,Superadmins can do all things,*,public,(((auth.jwt() ->> 'role'::text) = 'superadmin'::text) OR ((((auth.jwt() -> 'user_metadata'::text) ->> 'is_super_admin'::text))::boolean = true)),null
public,contributions,Superadmins have full control,*,authenticated,"(EXISTS ( SELECT 1
   FROM members m
  WHERE ((m.id = ( SELECT auth.uid() AS uid)) AND (m.role = 'superadmin'::user_role))))",null
public,contributions,Users can view their contributions,r,public,(member_id = auth.uid()),null
public,event_registrations,Superadmins can do all things,*,public,(((auth.jwt() ->> 'role'::text) = 'superadmin'::text) OR ((((auth.jwt() -> 'user_metadata'::text) ->> 'is_super_admin'::text))::boolean = true)),null
public,event_registrations,Superadmins have full control,*,authenticated,"(EXISTS ( SELECT 1
   FROM members m
  WHERE ((m.id = ( SELECT auth.uid() AS uid)) AND (m.role = 'superadmin'::user_role))))",null
public,event_registrations,Users can register for events,a,public,null,(member_id = auth.uid())
public,event_registrations,Users can view their registrations,r,public,(member_id = auth.uid()),null
public,events,Admins can manage events,*,public,"(EXISTS ( SELECT 1
   FROM members
  WHERE ((members.id = auth.uid()) AND (members.role = 'admin'::user_role))))","(EXISTS ( SELECT 1
   FROM members
  WHERE ((members.id = auth.uid()) AND (members.role = 'admin'::user_role))))"
public,events,Anyone can view events,r,public,true,null
public,events,Superadmins have full control,*,authenticated,"(EXISTS ( SELECT 1
   FROM members m
  WHERE ((m.id = ( SELECT auth.uid() AS uid)) AND (m.role = 'superadmin'::user_role))))",null
public,likes,Members can like posts in their community,a,authenticated,null,"((user_id = auth.uid()) AND (EXISTS ( SELECT 1
   FROM (members m
     JOIN posts p ON ((m.community_id = p.community_id)))
  WHERE ((m.id = auth.uid()) AND (p.id = likes.post_id)))) AND (community_id IS NOT NULL))"
public,likes,Members can unlike posts they liked,d,authenticated,"((user_id = auth.uid()) AND (EXISTS ( SELECT 1
   FROM (members m
     JOIN posts p ON ((m.community_id = p.community_id)))
  WHERE ((m.id = auth.uid()) AND (p.id = likes.post_id)))))",null
public,likes,Members can view likes in their community,r,authenticated,"(EXISTS ( SELECT 1
   FROM members m
  WHERE ((m.id = auth.uid()) AND (m.community_id = likes.community_id))))",null
